LAMMPS Description 
 
 	 2000 atoms 
 	 0 bonds 
 	 0 angles 
 	 0 dihedrals 
 	 0 impropers 
 
 	 10 atom types 
 	 2 bond types 
 	 0 angle types 
 	 0 dihedral types 
 	 0 improper types 
 
 	 -81.64965809277261 81.64965809277261 xlo xhi
 	 -81.64965809277261 81.64965809277261 ylo yhi 
 	 -0.05 0.05 zlo zhi
 
Masses 
 
 	 1 1.0000 
 	 2 1.0000 
 	 3 1.0000 
 	 4 1.0000 
 	 5 1.0000 
 	 6 1.0000 
 	 7 1.0000 
 	 8 1.0000 
 	 9 1.0000 
 	 10 1.0000 
 
Atoms 
 
 	 1 1 1 0 16.32993161855451 -16.329931618554525 0.0 0 0 0 
 	 2 1 2 0 15.379931618554512 -16.329931618554525 0.0 0 0 0 
 	 3 1 3 0 16.32993161855451 -17.279931618554524 0.0 0 0 0 
 	 4 1 4 0 17.27993161855451 -16.329931618554525 0.0 0 0 0 
 	 5 1 5 0 16.32993161855451 -15.379931618554526 0.0 0 0 0 
 	 6 2 1 0 40.8248290463863 65.31972647421809 0.0 0 0 0 
 	 7 2 2 0 39.874829046386296 65.31972647421809 0.0 0 0 0 
 	 8 2 3 0 40.8248290463863 64.36972647421808 0.0 0 0 0 
 	 9 2 4 0 41.7748290463863 65.31972647421809 0.0 0 0 0 
 	 10 2 5 0 40.8248290463863 66.26972647421809 0.0 0 0 0 
 	 11 3 1 0 -16.329931618554525 24.494897427831773 0.0 0 0 0 
 	 12 3 2 0 -17.279931618554524 24.494897427831773 0.0 0 0 0 
 	 13 3 3 0 -16.329931618554525 23.544897427831774 0.0 0 0 0 
 	 14 3 4 0 -15.379931618554526 24.494897427831773 0.0 0 0 0 
 	 15 3 5 0 -16.329931618554525 25.444897427831773 0.0 0 0 0 
 	 16 4 1 0 32.659863237109036 -40.824829046386306 0.0 0 0 0 
 	 17 4 2 0 31.709863237109037 -40.824829046386306 0.0 0 0 0 
 	 18 4 3 0 32.659863237109036 -41.77482904638631 0.0 0 0 0 
 	 19 4 4 0 33.60986323710904 -40.824829046386306 0.0 0 0 0 
 	 20 4 5 0 32.659863237109036 -39.8748290463863 0.0 0 0 0 
 	 21 5 1 0 -8.164965809277263 -48.98979485566357 0.0 0 0 0 
 	 22 5 2 0 -9.114965809277262 -48.98979485566357 0.0 0 0 0 
 	 23 5 3 0 -8.164965809277263 -49.93979485566357 0.0 0 0 0 
 	 24 5 4 0 -7.214965809277262 -48.98979485566357 0.0 0 0 0 
 	 25 5 5 0 -8.164965809277263 -48.039794855663565 0.0 0 0 0 
 	 26 6 1 0 8.164965809277263 40.8248290463863 0.0 0 0 0 
 	 27 6 2 0 7.214965809277262 40.8248290463863 0.0 0 0 0 
 	 28 6 3 0 8.164965809277263 39.874829046386296 0.0 0 0 0 
 	 29 6 4 0 9.114965809277262 40.8248290463863 0.0 0 0 0 
 	 30 6 5 0 8.164965809277263 41.7748290463863 0.0 0 0 0 
 	 31 7 1 0 -32.65986323710905 -48.98979485566357 0.0 0 0 0 
 	 32 7 2 0 -33.60986323710905 -48.98979485566357 0.0 0 0 0 
 	 33 7 3 0 -32.65986323710905 -49.93979485566357 0.0 0 0 0 
